"id_str","created_at","screen_name","retweet_count","favorite_count","full_text"
"1198619237453041665","Sun Nov 24 15:07:50 +0000 2019","KirkDBorne",54,55,"At the #AI frontier — Applications and Value of #DeepLearning — Analysis of more than 400 use cases across 19 industries and 9 business functions: https://t.co/qN6sVAWDWu by @McKinsey  ————— #BigData #MachineLearning #DigitalTransformation #DataScience #DAIFE #AIstrategy https://t.co/YAIEI3kr4O"
"1198796473703550977","Mon Nov 25 02:52:06 +0000 2019","KirkDBorne",65,118,"Why #MachineLearning works in some cases and not in others: https://t.co/3i1SOOVIEg ————- #BigData #DataScience #AI #Algorithms #abdsc https://t.co/PGrG1In6v9"
"1198615916784836609","Sun Nov 24 14:54:38 +0000 2019","KirkDBorne",31,53,"Many enterprises do not have enough training data to make #MachineLearning functional. #Cloud-based #AI training could be the game-changer to solve that problem: https://t.co/RGme8RZyux by @DavidLinthicum  ———— #BigData #DataScience #DataStrategy #AnalyticsStrategy #DeepLearning https://t.co/aWEQLHBwYC"
"1198980216888156160","Mon Nov 25 15:02:14 +0000 2019","ThancmarFeldt",0,0,"RPA solutions powered by machine learning - GlobeNewswire  Read more here: https://t.co/1nnONCWSwN  #ArtificialIntelligence #MachineLearning #ML #DataScience #DeepLearning #AI #IoT #BigData"
"1198980214610632707","Mon Nov 25 15:02:13 +0000 2019","ThancmarFeldt",0,0,"Artificial intelligence becomes health care reality | Health And Science - Santa Fe New Mexican  Read more here: https://t.co/NUr6eVSbWO  #ArtificialIntelligence #MachineLearning #ML #DataScience #DeepLearning #AI #IoT #BigData"
"1198980211846582273","Mon Nov 25 15:02:13 +0000 2019","ThancmarFeldt",0,0,"Siri, tell Fido to stop barking: What's machine learning, and what's the future of it? - https://t.co/CvRI1VHznc  Read more here: https://t.co/vG54K8RRAb  #ArtificialIntelligence #MachineLearning #ML #DataScience #DeepLearning #AI #IoT #BigData"
"1198980165738483717","Mon Nov 25 15:02:02 +0000 2019","clairebotai",1,0,"RT @Digitraxent: DigiTrax The Weeknd A.I. music https://t.co/kB15vQsHMW #ML #MachineLearning #AI #ArtificialIntelligence #DeepLearning #Big…"
"1198980163511488520","Mon Nov 25 15:02:01 +0000 2019","RichardEudes",0,0,"The Future Of Transportation Relies On Intelligence https://t.co/XP3UtqxKmw #bigdata, #businessanalytics, #datascience #ds, #digitaltransformation, #machinelearning"
"1198980141193596929","Mon Nov 25 15:01:56 +0000 2019","Digitraxent",1,0,"DigiTrax The Weeknd A.I. music https://t.co/kB15vQsHMW #ML #MachineLearning #AI #ArtificialIntelligence #DeepLearning #BigData #DataScience #DL #Tech #Automation #Innovation #Startups #Data #NLP #MusicEd #SupportMusic #beats #drake #kanye #invest #seed #angel https://t.co/3OjZWu33Fw"
"1198980109958615041","Mon Nov 25 15:01:48 +0000 2019","DataScientistsF",0,0,"via @RichardEudes - Businesses create more impact with more efficient data science workflows  https://t.co/8nhCutdWFr  #bigdata, #businessanalytics, #datalake, #datascience, #datascience #ds, #hadoop, #iot, #machinelearning https://t.co/Ni2YYBDzP3"
"1198980090266345472","Mon Nov 25 15:01:44 +0000 2019","stichris",1,0,"RT @aibrussels: Catch up with our latest news about the AI Experience Center  because ... it is officially OPEN ✅   👉👉https://t.co/6okETfN6…"
"1198980078262198272","Mon Nov 25 15:01:41 +0000 2019","AnalyticsFrance",0,0,"via @RichardEudes - Businesses create more impact with more efficient data science workflows  https://t.co/73i9sZxSB3  #bigdata, #businessanalytics, #datalake, #datascience, #datascience #ds, #hadoop, #iot, #machinelearning https://t.co/hgveSJPxv4"
"1198980076009873409","Mon Nov 25 15:01:40 +0000 2019","RealtimeRadical",136,0,"RT @Paula_Piccard: #AI learns chess, invents moves, defeats #human @wef #Google #AlphaZero #MachineLearning #Robotics #MachineVision #4IR #…"
"1198980047396384769","Mon Nov 25 15:01:33 +0000 2019","DrZahwa",0,0,"RT Guidehouse: .NavigantFinServ partnered with Ayasdi to deploy #AI &amp; #machinelearning to better detect financial crime. Learn more about what this strategic partnership delivered in The Navigator, our quarterly e-magazine. https://t.co/8Q5ZZXzleZ https://t.co/MSdnlLWsn7"
